id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1684,ALEXANDER ENTERPRISES LLC,KIND LENDING LLC,9232 WOODCREEK CT,PARKVILLE,2025-03-18,230000,184000
1685,CZ PROPERTIES LLC,KAINE INVESTMENTS LLC,3408 YARDLEY DR,DUNDALK,2025-03-18,130000,300000
1686,DBC CHS 6 LLC,RFLF 4 LLC,425 MARYLAND AVE,ESSEX,2025-03-18,145200,200680
1687,NNP CAPITAL GROUP LLC,NATIONAL LOAN FUNDING LLC,804 CARRIAGE HOUSE LN,UPPER MARLBORO,2025-03-18,285000,254545
1688,MONTERROSO DESIGN & HOME IMPROVEMENT LLC,EQUITY TRUST CO,523 PEACOCK DR,HYATTSVILLE,2025-03-18,175000,200000
1689,DELMARVA BUILDING SOLUTIONS LLC,PAS MORTGAGE INC,9564 ATHOL RD,MARDELA SPRINGS,2025-03-18,90000,90000
1690,RENDY PROPERTY INVESTMENT ECT LLC,WILGUS FINANCIAL LLC,808 E CHURCH ST,SALISBURY,2025-03-18,40000,220000
1691,LISTY INC,TVC FUNDING I LLC,606 S LUZERNE AVE,BALTIMORE,2025-03-18,165000,346358
1692,UNCAGED POTENTIAL LIMITED LIABILITY COMPANY,FIRST EQUITY FUNDING LP,2601 E OLIVER ST,BALTIMORE,2025-03-18,204000,163200
1693,ADEMALA PROPERTIES LLC,MAHPARI YOSEF,759 BARTLETT AVE,BALTIMORE,2025-03-18,57500,57000
1694,GRACE ENTERPRISE INC,UNITED WHOLESALE MORTGAGE LLC,1217 N BOND ST,BALTIMORE,2025-03-18,132000,105600
1695,BRADDISH24 LLC,LENDINGONE LLC,2701 CHELSEA TER,BALTIMORE,2025-03-18,287610,230088
1696,REBIRTH DEVELOPMENT LLC,PIMLICO GROUP LLC,1503 CLIFTON AVE,BALTIMORE,2025-03-18,72500,156000
1697,NEXT PHASE HOMES LLC,KIAVI FUNDING INC,1704 MADISON AVE,BALTIMORE,2025-03-18,285900,407200
